AirportCode,HubCode,source,name,latitude,longitude,timezone,is_visible,default_language,is_deleted,cities_id
HLP,JKT,TTX,Jakarta Halim Perdana Kusuma Apt,-6.196115,106.77347,700,t,en-us,f,f26b1b4e-f51d-42c8-8c64-0e77f9eaea47
GCJ,JNB,TTX,Johannesburg Grand Central Apt,-26.166112,28.125,200,t,en-us,f,NULL
HCS,JNB,TTX,Johannesburg Randburg H/P,-26.166112,28.125,200,t,en-us,f,NULL
HLA,JNB,TTX,Johannesburg Lanseria International Apt,-26.166112,28.125,200,t,en-us,f,NULL
JNB,JNB,TTX,Johannesburg O.R. Tambo International,-26.166112,28.125,200,t,en-us,f,NULL
QRA,JNB,TTX,Johannesburg Rand,-26.166112,28.125,200,t,en-us,f,NULL
LCY,LON,TTX,London(City) England UK,51.576945,-0.005878,0,t,en-us,f,a56bcef1-6d59-4ab5-8ac6-1cbcf78804c2
LGW,LON,TTX,London(Gatwick) England UK,51.576945,-0.005878,0,t,en-us,f,a56bcef1-6d59-4ab5-8ac6-1cbcf78804c2
LHR,LON,TTX,London(Heathrow) England UK,51.576945,-0.005878,0,t,en-us,f,a56bcef1-6d59-4ab5-8ac6-1cbcf78804c2
LTN,LON,TTX,London(Luton) England UK,51.576945,-0.005878,0,t,en-us,f,a56bcef1-6d59-4ab5-8ac6-1cbcf78804c2
SEN,LON,TTX,London Southend Apt,51.576945,-0.005878,0,t,en-us,f,a56bcef1-6d59-4ab5-8ac6-1cbcf78804c2
STN,LON,TTX,London(Stansted) England UK,51.576945,-0.005878,0,t,en-us,f,a56bcef1-6d59-4ab5-8ac6-1cbcf78804c2
BGY,MIL,TTX,Milan Orio al Serio Apt,45.392638,9.499237,100,t,en-us,f,c282e420-3e17-4966-9698-38210ea86d7d
LIN,MIL,TTX,Milan (Linate) Italy,45.392638,9.499237,100,t,en-us,f,c282e420-3e17-4966-9698-38210ea86d7d
MXP,MIL,TTX,Milan (Malpensa) Italy,45.392638,9.499237,100,t,en-us,f,c282e420-3e17-4966-9698-38210ea86d7d
PMF,MIL,TTX,Milan Parma Apt,45.392638,9.499237,100,t,en-us,f,c282e420-3e17-4966-9698-38210ea86d7d
BKA,MOW,TTX,Bykovo Airport,55.65778,37.5275,300,t,en-us,f,f708eb41-1a85-45ae-8327-2342be4d95a5
DME,MOW,TTX,Moscow(Domodedovo) Russian Fed.,55.65778,37.5275,300,t,en-us,f,f708eb41-1a85-45ae-8327-2342be4d95a5
SVO,MOW,TTX,Moscow(Sheremetyevo) Russian Fed.,55.65778,37.5275,300,t,en-us,f,f708eb41-1a85-45ae-8327-2342be4d95a5
VKO,MOW,TTX,Moscow Vnukovo Apt,55.65778,37.5275,300,t,en-us,f,f708eb41-1a85-45ae-8327-2342be4d95a5
EWR,NYC,TTX,"New York(Newark, NJ), NY USA",40.703147,-73.94,-500,t,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9
FLU,NYC,TTX,Flushing Airport,40.703147,-73.94,-500,t,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9
JFK,NYC,TTX,"New York(Kennedy), NY USA",40.703147,-73.94,-500,t,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9
LGA,NYC,TTX,"New York(Laguardia), NY USA",40.703147,-73.94,-500,t,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9
QNY,NYC,TTX,Marine Air Terminal,40.703147,-73.94,-500,t,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9
WTC,NYC,TTX,World Trade Center Airport,40.703147,-73.94,-500,t,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9
MCO,ORL,TTX,"Orlando(Intl), FL USA",28.60361,-81.273195,-500,t,en-us,f,NULL
SFB,ORL,TTX,"Orlando(Sanford), FL USA",28.60361,-81.273195,-500,t,en-us,f,NULL
ITM,OSA,TTX,Osaka Itami Airport,34.615187,135.30213,900,t,en-us,f,NULL
KIX,OSA,TTX,Osaka Kansai International Airport,34.615187,135.30213,900,t,en-us,f,NULL
UKB,OSA,TTX,Osaka Kobe Airport,34.615187,135.30213,900,t,en-us,f,NULL
BVA,PAR,TTX,Paris Beauvais-Tille Airport,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
CDG,PAR,TTX,Paris(C.Degaulle) France,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
LBG,PAR,TTX,Le Bourget Airport,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
ORY,PAR,TTX,Paris(Orly) France,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
