code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
PXC,OAG,Pescara Bus Station,42.47,14.205,100,t,NULL,5,en-us,f,NULL,f,NULL
PZJ,OAG,Portoroz Bus Station,45.51333,13.595,100,t,NULL,5,en-us,f,NULL,t,NULL
QAO,OAG,Agrigento Bus Stop,37.31194,13.58694,100,t,NULL,5,en-us,f,NULL,f,NULL
QAR,OAG,Arnhem Bus Station,51.98417,5.90028,100,t,NULL,5,en-us,f,NULL,t,NULL
QBB,OAG,Cologne/Bonn Thomastrasse Bus Station,50.735,7.08917,100,t,NULL,5,en-us,f,NULL,f,NULL
QBF,OAG,Vail/Eagle Vail Bus Station,39.63333,-106.36667,-700,t,f,5,en-us,f,60a4d4a9-f3cb-4d9c-9482-d315c4f7b3e6,f,NULL
QCA,OAG,Makkah Bus Station,21.43333,39.81667,300,t,NULL,5,en-us,f,NULL,f,NULL
QCE,OAG,Copper Mountain Bus Station,39.77222,-104.88333,-700,t,f,5,en-us,f,5b76fdf6-69fd-457b-9420-e6e47f0d67e8,f,NULL
QDI,OAG,Hohenems/Dornbirn Bus Station,47.41667,9.73306,100,t,NULL,5,en-us,f,NULL,f,NULL
QDK,OAG,Chattanooga Greyhound Bus Station,35.16667,-85.21667,-500,t,NULL,5,en-us,f,NULL,f,NULL
QFH,OAG,Frederikshavn Bus Station,57.43333,10.53333,100,t,NULL,5,en-us,f,NULL,f,NULL
QGY,OAG,Gyor Bus Station,47.68333,17.63333,100,t,NULL,5,en-us,f,NULL,f,NULL
QHJ,OAG,Hjorring Bus Station,57.46667,9.98333,100,t,NULL,5,en-us,f,NULL,f,NULL
QJJ,OAG,Dalton Flightlink Bus Station,34.73333,-84.88333,-500,t,NULL,5,en-us,f,NULL,f,NULL
QJV,OAG,Skagen Bus Station,57.74167,10.6,100,t,NULL,5,en-us,f,NULL,f,NULL
QJW,OAG,Kjellerup Bus Station,56.28333,9.43333,100,t,NULL,5,en-us,f,NULL,f,NULL
QJY,OAG,Kolobrzeg Bus Station,54.16667,15.58333,100,t,NULL,5,en-us,f,NULL,f,NULL
QKB,OAG,Breckenridge Bus Station,39.76944,-104.88333,-700,t,f,5,en-us,f,cd40e235-d4ca-4557-a6ad-b16532f90a9c,f,NULL
QKI,OAG,Kielce Bus Station,50.87583,20.62194,100,t,NULL,5,en-us,f,NULL,f,NULL
QKS,OAG,Keystone Bus Station,39.76667,-104.88611,-700,t,f,5,en-us,f,89e8aab9-42f7-44f6-ba77-82dc2310b024,f,NULL
QLE,OAG,Leeton Bus Station,-34.55,146.4,1000,t,NULL,5,en-us,f,NULL,f,NULL
QLU,OAG,Lublin Bus Station,51.25167,22.57139,100,t,NULL,5,en-us,f,NULL,f,NULL
QLZ,OAG,Ikast Bus Station,56.13333,9.16667,100,t,NULL,5,en-us,f,NULL,f,NULL
QME,OAG,Messina Bus Stop,38.18583,15.56028,100,t,NULL,5,en-us,f,NULL,f,NULL
QMP,OAG,Macon Flightlink Bus Station,32.83333,-83.6,-500,t,NULL,5,en-us,f,NULL,f,NULL
QNU,OAG,Nuoro Bus Stop,40.32028,9.32389,100,t,NULL,5,en-us,f,NULL,f,NULL
QOF,OAG,Kiev Borispol Bus Station,50.40278,30.46667,200,t,NULL,5,en-us,f,NULL,f,NULL
QOH,OAG,Kiev Hotel Rus Bus Station,50.4,30.46944,200,t,NULL,5,en-us,f,NULL,f,NULL
QPD,OAG,Palau Bus Stop,41.18139,9.38556,100,t,NULL,5,en-us,f,NULL,f,NULL
QPJ,OAG,Pecs Bus Station,46.08333,18.23333,100,t,t,5,en-us,f,f6bf6607-0315-4d57-a776-66654dd6aef6,f,NULL
QPL,OAG,Ploiesti Bus Station,44.95,26.01667,200,t,NULL,5,en-us,f,NULL,f,NULL
QPV,OAG,Perisher Valley Bus Station,-37.58944,148.61667,1000,t,NULL,5,en-us,f,NULL,f,NULL
QRG,OAG,Ragusa Bus Stop,36.915,14.72111,100,t,NULL,5,en-us,f,NULL,f,NULL
QRL,OAG,Marbella Bus Station,36.51667,-4.8925,100,t,NULL,5,en-us,f,NULL,f,NULL
QRS,OAG,Resita Bus Station,45.28333,21.88333,200,t,NULL,5,en-us,f,NULL,f,NULL
QSS,OAG,Sassari Bus Stop,40.72944,8.55528,100,t,NULL,5,en-us,f,NULL,f,NULL
QTH,OAG,Thredbo Bus Station,-36.48333,148.31667,1000,t,NULL,5,en-us,f,NULL,f,NULL
QVN,OAG,Avellino Bus Stop,40.91722,14.79,100,t,NULL,5,en-us,f,NULL,f,NULL
QVY,OAG,Kouvola Bus Station,60.86639,26.7,200,t,NULL,5,en-us,f,NULL,f,NULL
QWF,OAG,Fort Collins Bus Station,40.58611,-105.08333,-700,t,f,5,en-us,f,9399ecac-92be-43a2-a64b-a508216e6cb4,f,NULL
QWH,OAG,Loveland Bus Station,40.4,-105.1,-700,t,f,5,en-us,f,9399ecac-92be-43a2-a64b-a508216e6cb4,f,NULL
