code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
QFG,OAG,Eqalugaarsuit Heliport,60.62472,-45.91333,-300,t,NULL,NULL,en-us,f,NULL,f,NULL
QFN,OAG,Narsaq Kujalleq Heliport,60.00444,-44.65528,-300,t,NULL,NULL,en-us,f,NULL,t,NULL
QFT,OAG,Qassiarsuk Heliport,61.14361,-45.51333,-300,t,NULL,NULL,en-us,f,NULL,f,NULL
QFX,OAG,Igaliku Heliport,60.99111,-45.42111,-300,t,NULL,NULL,en-us,f,NULL,f,NULL
QJH,OAG,Qassumiut Heliport,60.77944,-47.15222,-300,t,NULL,NULL,en-us,f,NULL,f,NULL
QOQ,OAG,Saarloq Heliport,60.53806,-46.02472,-300,t,NULL,NULL,en-us,f,NULL,f,NULL
QUV,OAG,Aappilattoq Nanortalik Heliport,60.14833,-44.28694,-300,t,NULL,NULL,en-us,f,NULL,t,NULL
QUW,OAG,Ammassivik Heliport,60.59389,-45.38278,-300,t,NULL,NULL,en-us,f,NULL,f,NULL
RAY,OAG,Rothesay,55.85,-5.05,0,t,f,8,en-us,f,f85e5db2-fac6-46cf-86e3-4daaf292f36b,f,NULL
SBT,OAG,Sabetta,71.25111,72.10167,500,t,f,8,en-us,f,94234803-8b08-40ce-a384-c327e418d63e,f,NULL
TQA,OAG,Tasiussaq Heliport,73.37306,-56.06028,-300,t,NULL,NULL,en-us,f,NULL,t,NULL
TQI,OAG,Tiniteqilaaq Heliport,65.89194,-37.78333,-300,t,NULL,NULL,en-us,f,NULL,t,NULL
TSO,OAG,Isles of Scilly Tresco Heliport,49.94556,-6.33139,0,t,NULL,NULL,en-us,f,NULL,f,NULL
TSS,OAG,New York East 34th Street H/P,40.7425,-73.97222,-500,t,f,8,en-us,f,e7395660-876c-49ae-99b8-fa825ad45ba9,f,NULL
UPK,OAG,Upernavik Kujalleq Heliport,72.15278,-55.53111,-300,t,NULL,NULL,en-us,f,NULL,t,NULL
WKL,OAG,Waikoloa,19.91667,-155.86667,-1000,t,f,8,en-us,f,a911ac3d-4dc8-4bca-9e1f-cd1cc39daa1e,f,NULL
YED,OAG,CFB Namao Heliport,53.31944,-113.6,-700,t,NULL,NULL,en-us,f,NULL,f,NULL
YWF,OAG,Halifax Downtown Waterfront H/P,44.65,-63.6,-400,t,NULL,NULL,en-us,f,NULL,f,NULL
