code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
ABX,OAG,Albury Airport,-36.06778,146.95806,1000,t,t,2,en-us,f,e4484139-a9eb-47d6-a521-dc940c69dcd7,t,f
ABY,OAG,Albany Airport,31.53556,-84.19444,-500,t,t,1,en-us,f,546a1be9-2ce8-4f80-ba2c-ad6e5d43ed34,t,f
ABZ,OAG,Aberdeen Airport,57.20417,-2.20028,0,t,t,1,en-us,f,cf6de928-9caa-4282-b3c3-ba9d8e7002cd,t,f
ACA,OAG,Acapulco Airport,16.75694,-99.75389,-600,t,t,1,en-us,f,845a0ddb-b6c2-4e43-a7f1-ab58c29f484b,t,f
ACB,OAG,Bellaire,44.98333,-85.20278,-500,t,NULL,3,en-us,f,NULL,f,f
ACC,OAG,Accra Airport,5.60528,-0.16667,0,t,t,2,en-us,f,a949d6fd-627b-4666-abf3-f5d68e5e90d4,t,f
ACD,OAG,Acandi,8.51667,-77.3,-500,t,t,3,en-us,f,5b853178-2315-4112-b4a7-cb0b83b6950d,f,f
ACE,OAG,Lanzarote Airport,28.94556,-13.60528,0,t,t,2,en-us,f,3274ebfc-2afe-4ce2-855f-cee2d55fc029,t,f
ACH,OAG,Altenrhein Airport,47.485,9.56083,100,t,t,2,en-us,f,f583c49d-747b-45d4-a348-b0c7a5dd7faf,t,f
ACI,OAG,Alderney Airport,49.70694,-2.21556,0,t,t,2,en-us,f,58b71bac-20ad-4db2-bad4-26265db58aa3,t,f
ACJ,OAG,Anuradhapura,8.3,80.42667,530,t,NULL,3,en-us,f,NULL,f,f
ACK,OAG,Nantucket Airport,41.25306,-70.06028,-500,t,t,1,en-us,f,7b23f311-962a-4767-bf36-d45977234813,t,f
ACL,OAG,Aguaclara,4.75,-73,-500,t,NULL,3,en-us,f,NULL,f,f
ACM,OAG,Arica,-2.13333,-71.78333,-500,t,NULL,3,en-us,f,NULL,f,f
ACN,OAG,Ciudad Acuna,29.3,-100.91667,-600,t,NULL,3,en-us,f,NULL,f,f
ACP,OAG,Maragheh,37.34806,46.13306,330,t,t,2,en-us,f,3e8974e7-b24f-4f06-a6ce-6c32d021fb64,f,f
ACR,OAG,Araracuara,-0.60083,-72.39639,-500,t,t,2,en-us,f,5db102e7-0e28-4da6-a87e-3837e85147f7,f,f
ACS,OAG,Achinsk Airport,56.26972,90.57194,700,t,NULL,3,en-us,f,NULL,t,f
ACT,OAG,Waco Regional Airport,31.61139,-97.23056,-600,t,t,1,en-us,f,699afc7a-3260-41bb-a56f-d7b5de1bf4d2,t,f
ACU,OAG,Achutupo Airport,8.43333,-77.96667,-500,t,t,2,en-us,f,4135cdd6-fd93-4685-be88-4a631b7f8be3,t,f
