code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
AVS,OAG,Avila Rail Station,40.65694,-4.68333,100,t,NULL,NULL,en-us,f,NULL,t,NULL
BAK,TTX,Amtrak (Baker City),44.782054,-117.811325,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BAL,TTX,Amtrak (Baltimore Penn Station),39.30812,-76.617477,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BAM,TTX,Amtrak (Bangor),42.314186,-86.111869,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BAN,TTX,Amtrak (Bangor),44.801,-68.778,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BAR,TTX,Amtrak (Barstow),34.9048,-117.025352,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BAS,TTX,Amtrak (Bay St. Louis),30.3069,-89.337333,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BAT,TTX,Amtrak (Bath),43.9106,-69.8206,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BAU,OAG,Bari Central Rail Station,41.11778,16.86944,100,t,NULL,NULL,en-us,f,NULL,f,NULL
BAY,TTX,Amtrak (Bay Minette),30.88092,-87.773033,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BBS,TTX,Amtrak (Barstow Bus Station (Thruway Motorcoach station)),34.9048,-117.0248,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BBY,TTX,Amtrak (Boston Back Bay - Acela Express - Regional - Lake Shore Limited),42.347305,-71.076354,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BCL,TTX,Amtrak (Bossier City),32.525558,-93.680152,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BDN,TTX,Amtrak (Brandon),43.799175,-73.089233,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BDR,TTX,Amtrak (Bend Riverhouse),44.0582,-121.3153,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BDT,TTX,Amtrak (Bradenton),27.490396,-82.470672,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BED,TTX,Amtrak (Bend),44.055339,-121.273406,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BEL,TTX,Amtrak (Bellingham),48.720485,-122.509887,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BEN,TTX,Amtrak (Benson),31.968168,-110.293983,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
BER,TTX,Amtrak (Berlin),41.635524,-72.765724,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BET,TTX,Amtrak (South Beloit),42.49884,-89.035491,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BEU,TTX,Amtrak (Beaumont),33.928047,-116.976509,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BFD,TTX,Amtrak (Bakersfield),35.371379,-119.02246,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BFT,TTX,Amtrak (Belfast),44.4259,-69.006,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BFX,TTX,Amtrak (Buffalo Exchange St.),42.878482,-78.875061,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BGP,TTX,Amtrak (Big Rapids),43.698318,-85.482048,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BGS,TTX,Amtrak (Big Spring),32.252571,-101.473014,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BHM,TTX,Amtrak (Birmingham),33.512393,-86.807029,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BIN,TTX,Amtrak (Berlin),44.468669,-71.185076,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BIX,TTX,Amtrak (Biloxi),30.39912,-88.891143,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BKR,TTX,Amtrak (Baker),35.2675,-116.0739,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BKY,TTX,Amtrak (Berkeley),37.867603,-122.299995,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BLD,TTX,Amtrak (Boulder),40.058395,-105.281181,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
BLE,TTX,Amtrak (Belen),34.664241,-106.774871,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
BLF,TTX,Amtrak (Bellows Falls),43.135826,-72.445449,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BLY,TTX,Amtrak (Buckley),44.504398,-85.676635,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BMM,TTX,Amtrak (Birmingham),42.545722,-83.195297,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BMT,TTX,Amtrak (Beaumont),30.076906,-94.122962,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BNB,TTX,Amtrak (Bethany Beach),38.5396,-75.0552,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BNC,TTX,Amtrak (Burlington),36.094177,-79.436286,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BNG,TTX,Amtrak (Bingen-White Salmon),45.715385,-121.469093,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BNL,TTX,Amtrak (Bloomington-Normal),40.508346,-88.984039,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BNS,TTX,Amtrak (Burns),43.5904,-119.05339,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BOI,TTX,Amtrak (Boise),43.619468,-116.206108,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
BON,TTX,Amtrak (Boston North Station - Maine service only),42.3661,-71.061,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BOR,TTX,Amtrak (Cheyenne(Borie)),41.09111,-104.9869,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
BOS,TTX,Amtrak (Boston South Station Downtown - Acela Express - Regional - Lake Shore Limited),42.351524,-71.055297,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BPO,OAG,Bo'ao Rail Station,19.13806,110.48278,800,t,NULL,NULL,en-us,f,NULL,f,NULL
BPR,OAG,Bristol Parkway Rail Station,51.51389,-2.54167,0,t,NULL,NULL,en-us,f,NULL,t,NULL
BQD,OAG,Brindisi Rail Station,40.63417,17.93889,100,t,NULL,NULL,en-us,f,NULL,f,NULL
BQZ,OAG,Badajoz Rail Station,38.89056,-6.98139,100,t,NULL,NULL,en-us,f,NULL,t,NULL
BRA,TTX,Amtrak (Brattleboro),42.838695,-72.550354,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BRH,TTX,Amtrak (Brookhaven),31.578758,-90.442123,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BRK,TTX,Amtrak (Brunswick),43.9113,-69.9657,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BRL,TTX,Amtrak (Burlington),40.805942,-91.101982,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BRM,TTX,Amtrak (Bryn Mawr),40.0218,-75.3163,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BRN,TTX,Amtrak (Boron),34.999782,-117.656806,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BRO,TTX,Amtrak (Browning),48.533294,-113.010841,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
BRP,TTX,Amtrak (Bridgeport),41.176746,-73.1874,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BRT,TTX,Amtrak (Brampton),43.691055,-79.762321,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BRV,TTX,Amtrak (Bartlesville),36.750633,-95.935363,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BRZ,OAG,Brescia Rail Station,45.53194,10.21278,100,t,NULL,NULL,en-us,f,NULL,f,NULL
BSB,TTX,Amtrak (Bethlehem - South),40.611354,-75.377868,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BSN,TTX,Amtrak (Branson),36.64439,-93.227203,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BSV,TTX,Amtrak (Brownsville),25.899885,-97.49945,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BTA,TTX,Amtrak (Brewton),31.104864,-87.070045,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BTF,TTX,Amtrak (Brantford),43.145729,-80.262359,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BTL,TTX,Amtrak (Battle Creek),42.316974,-85.185691,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BTR,TTX,Amtrak (Baton Rouge),30.449657,-91.176597,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BTS,TTX,Amtrak (Batesville),34.31602,-89.952384,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BTV,TTX,Amtrak (Burlington),44.476055,-73.214797,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BUF,TTX,Amtrak (Buffalo-Depew),42.906917,-78.726608,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BUL,TTX,Amtrak (Buellton),34.611339,-120.193382,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BUR,TTX,Amtrak (Burbank Airport),34.193832,-118.355911,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BUZ,TTX,Amtrak (Buzzards Bay),41.745296,-70.61753,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BVL,TTX,Amtrak (Belleville),38.520919,-89.991462,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
BVQ,OAG,Baoding Rail Station,38.86417,115.47889,800,t,NULL,NULL,en-us,f,NULL,f,NULL
BWC,TTX,Amtrak (Brunswick Bowdoin College),43.914,-69.967,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BWI,TTX,Amtrak (Baltimore BWI Airport Rail Station),39.189552,-76.693397,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BWW,TTX,Amtrak (Brewster),48.136,-119.722,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
BYC,TTX,Amtrak (Boyne City),45.204841,-85.026649,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BYF,TTX,Amtrak (Boyne Falls),45.168399,-84.916213,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BYN,TTX,Amtrak (Bryan),41.480346,-84.552749,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
BZQ,OAG,Bolzano/Bozen Rail Station,46.49639,11.35833,100,t,NULL,NULL,en-us,f,NULL,f,NULL
CAM,TTX,Amtrak (Camden),34.247348,-80.626159,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CAS,TTX,Amtrak (Casper Bus Stop),42.8666,-106.3131,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
CAT,TTX,Amtrak (Cattletsburg),38.438098,-82.608444,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CAY,TTX,Amtrak (Conway),43.9792,-71.1203,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CBO,TTX,Amtrak (Cannon Beach),45.8918,-123.9615,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CBR,TTX,Amtrak (Cleburne),32.348335,-97.38166,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CBS,TTX,Amtrak (Columbus),43.340667,-89.012481,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CBW,TTX,Amtrak (Capitol Beltway),38.9987,-76.8919,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CBY,TTX,Amtrak (Coos Bay),43.366645,-124.21199,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CCN,TTX,Amtrak (Carson City),39.166648,-119.765777,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CDL,TTX,Amtrak (Carbondale),37.724086,-89.216369,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CDN,TTX,Amtrak (Camden-Rockport),44.1948,-69.076,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CDZ,OAG,Cadiz Rail Station,36.52944,-6.28861,100,t,NULL,NULL,en-us,f,NULL,t,NULL
CED,TTX,Amtrak (Cedar City),37.6775,-113.062,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
CEJ,OAG,Cuenca Rail Station,40.0675,-2.13667,100,t,NULL,NULL,en-us,f,NULL,t,NULL
CEN,TTX,Amtrak (Centralia),38.52777,-89.136192,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CFW,OAG,Cardiff Rail Station,51.47583,-3.17917,0,t,NULL,NULL,en-us,f,NULL,t,NULL
CFX,TTX,Amtrak (Colfax),46.875926,-117.363655,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CGA,TTX,Amtrak (Calistoga),38.579868,-122.577812,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CHI,TTX,Amtrak (Chicago Union Station),41.87873,-87.639167,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CHM,TTX,Amtrak (Champaign-Urbana),40.116195,-88.240928,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CHS,TTX,Amtrak (Charleston),32.875534,-79.998901,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CHW,TTX,Amtrak (Charleston),38.351989,-81.64672,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CHY,TTX,Amtrak (Cheyenne Bus Stop),41.121582,-104.805183,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
CIA,TTX,Amtrak (Chillicothe),40.929954,-89.494216,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CIC,TTX,Amtrak (Chico),39.723308,-121.844718,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CIE,TTX,Amtrak (Caliente),37.612194,-114.515647,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CIG,TTX,Amtrak (Cincinnati Greyhound Bus),39.108,-84.504,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CIN,TTX,Amtrak (Cincinnati),39.102378,-84.536529,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CIP,TTX,Amtrak (Chipley),30.780727,-85.537612,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLA,TTX,Amtrak (Claremont),43.368785,-72.379302,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLB,TTX,Amtrak (Columbia),33.993717,-81.040573,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLC,TTX,Amtrak (Cadillac Bus Stop),44.268394,-85.406692,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLE,TTX,Amtrak (Cleveland),41.504417,-81.698173,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLF,TTX,Amtrak (Clifton Forge),37.811771,-79.836494,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLG,TTX,Amtrak (Cleveland - Greyhound Bus Station),41.5034,-81.682,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLJ,TTX,Amtrak (Camp Lejeune Bus Station),34.664,-77.354,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLL,TTX,Amtrak (College Station - Bryan),30.600336,-96.337127,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CLM,TTX,Amtrak (Claremont),34.094528,-117.715507,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CLP,TTX,Amtrak (Culpeper),38.472923,-77.993041,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CLT,TTX,Amtrak (Charlotte),35.241146,-80.823638,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
